POINT (-71.6375025 48.5166707),Alpha
POINT (-71.6317518 48.5060947),Bravo
POINT (-71.6358093 48.4950452),Charlie
POINT (-71.6404442 48.5150341),Delta
POINT (-71.6407017 48.5028654),Echo
POINT (-71.6207961 48.5151509),Foxtrot
POINT (-71.6522101 48.5101473),Golf
POINT (-71.6426006 48.5129917),Hotel
POINT (-71.6428152 48.5117408),India
POINT (-71.648054 48.5113145),Juliette
POINT (-71.6321754 48.4989742),Kilo
POINT (-71.6253089 48.5019885),Lima
POINT (-71.6510581 48.5138731),Mike
POINT (-71.6461702 48.5090567),November
POINT (-71.6516848 48.5107057),Oscar
POINT (-71.6298198 48.5039667),Papa
POINT (-71.6411893 48.5069003),Quebec
POINT (-71.6296878 48.5142354),Point_18
POINT (-71.6425625 48.4984266),Romeo
POINT (-71.6463389 48.5045689),Sierra
POINT (-71.6501156 48.5087768),Tango
POINT (-71.6290012 48.4937058),Uniform
POINT (-71.6228085 48.510353),Victor
POINT (-71.6240102 48.5081212),Whiskey
POINT (-71.6391074 48.5089812),Xray
POINT (-71.6312968 48.5112557),Yankee
POINT (-71.6486775 48.5200684),Zulu
